fecha,sector,region,producto,unidades,monto
2025-01-05,Sector 1,África,Fanta,2,8290
2025-01-05,Sector 4,Oceanía,Fanta,2,6410
2025-01-05,Sector 2,Europa,Agua,2,5360
2025-01-05,Sector 3,América,Cola Zero,1,5240
2025-01-05,Sector 3,Oceanía,Cola Original,1,5290
2025-01-06,Sector 2,África,Sprite,3,9570
2025-01-06,Sector 2,África,Cola Original,3,14670
2025-01-06,Sector 5,Europa,Cola Zero,2,9410
2025-01-06,Sector 3,América,Cola Zero,1,5420
2025-01-06,Sector 3,Europa,Cola Original,1,5380
2025-01-07,Sector 1,Oceanía,Cola Zero,1,5180
2025-01-07,Sector 1,Oceanía,Sprite,1,5130
2025-01-07,Sector 3,Oceanía,Cola Original,1,5510
2025-01-07,Sector 2,América,Sprite,2,6330
2025-01-07,Sector 5,Oceanía,Cola Zero,2,7990
2025-01-07,Sector 4,Asia,Cola Zero,3,14690
2025-01-07,Sector 3,Oceanía,Agua,1,3710
2025-01-07,Sector 3,Asia,Cola Original,2,6770
2025-01-07,Sector 1,Asia,Fanta,2,7590
2025-01-07,Sector 1,Oceanía,Cola Zero,1,5490
2025-01-07,Sector 1,Europa,Sprite,2,7110
2025-01-07,Sector 1,Europa,Fanta,2,6690
2025-01-07,Sector 4,África,Sprite,4,15240
2025-01-07,Sector 4,África,Agua,5,14020
2025-01-07,Sector 3,Asia,Cola Original,2,7830
2025-01-08,Sector 4,América,Cola Original,2,7770
2025-01-08,Sector 4,América,Fanta,2,6210
2025-01-08,Sector 5,Oceanía,Cola Original,1,6080
2025-01-08,Sector 4,América,Agua,3,6960
2025-01-08,Sector 1,Europa,Cola Zero,1,6540
2025-01-08,Sector 5,África,Fanta,2,8400
2025-01-08,Sector 1,África,Sprite,2,8340
2025-01-08,Sector 1,América,Cola Original,2,7280
2025-01-08,Sector 1,África,Cola Zero,2,9430
2025-01-08,Sector 1,América,Cola Original,1,6020
2025-01-08,Sector 5,Asia,Agua,4,9170
2025-01-08,Sector 5,Europa,Sprite,2,7620
2025-01-09,Sector 4,África,Agua,5,13450
2025-01-09,Sector 2,África,Cola Original,4,16930
2025-01-09,Sector 1,África,Agua,3,6840
2025-01-09,Sector 3,África,Cola Zero,2,9610
2025-01-09,Sector 5,Oceanía,Cola Zero,2,7210
2025-01-09,Sector 5,América,Fanta,1,4650
2025-01-09,Sector 2,Asia,Cola Zero,2,10290
2025-01-09,Sector 3,Asia,Sprite,2,6980
2025-01-09,Sector 2,Europa,Sprite,2,9330
2025-01-09,Sector 3,África,Cola Original,2,7880
2025-01-09,Sector 1,América,Cola Zero,1,5910
2025-01-09,Sector 2,América,Fanta,2,5580
2025-01-10,Sector 1,América,Sprite,1,4340
2025-01-10,Sector 1,América,Fanta,1,5010
2025-01-10,Sector 2,Oceanía,Sprite,2,5880
2025-01-10,Sector 4,África,Cola Original,3,15370
2025-01-11,Sector 1,Europa,Sprite,2,6020
2025-01-11,Sector 2,Asia,Cola Original,3,12870
2025-01-11,Sector 3,Oceanía,Fanta,1,3690
2025-01-11,Sector 1,América,Cola Original,2,6790
2025-01-11,Sector 5,Asia,Agua,3,7030
2025-01-11,Sector 1,Europa,Cola Zero,1,7080
2025-01-11,Sector 3,Oceanía,Agua,1,2990
2025-01-12,Sector 2,Oceanía,Cola Original,1,5700
2025-01-12,Sector 3,Europa,Sprite,1,5070
2025-01-12,Sector 3,África,Cola Zero,2,11460
2025-01-12,Sector 1,América,Agua,1,3630
2025-01-12,Sector 5,Asia,Cola Zero,2,8890
2025-01-12,Sector 2,África,Fanta,4,13580
2025-01-12,Sector 1,Oceanía,Cola Zero,1,6010
2025-01-12,Sector 3,Europa,Cola Zero,1,6070
2025-01-13,Sector 3,África,Fanta,2,6840
2025-01-13,Sector 5,Asia,Sprite,3,10070
2025-01-13,Sector 2,Oceanía,Sprite,2,6160
2025-01-13,Sector 4,América,Cola Original,2,8120
2025-01-13,Sector 2,América,Cola Original,2,7300
2025-01-13,Sector 3,África,Cola Zero,2,8420
2025-01-13,Sector 2,Europa,Fanta,3,9450
2025-01-13,Sector 1,Oceanía,Cola Original,1,5970
2025-01-13,Sector 2,África,Sprite,2,9400
2025-01-14,Sector 1,América,Cola Zero,1,6830
2025-01-14,Sector 4,Asia,Agua,4,10020
2025-01-14,Sector 5,África,Cola Original,3,12770
2025-01-14,Sector 1,América,Fanta,1,4520
2025-01-14,Sector 2,Asia,Cola Original,3,12820
2025-01-14,Sector 2,Asia,Cola Zero,2,11930
2025-01-14,Sector 4,América,Cola Original,2,7730
2025-01-15,Sector 3,Asia,Cola Zero,2,8010
2025-01-15,Sector 1,África,Sprite,3,10630
2025-01-15,Sector 5,Oceanía,Cola Zero,1,5870
2025-01-15,Sector 5,África,Cola Original,3,15530
2025-01-15,Sector 4,Oceanía,Fanta,2,5730
2025-01-15,Sector 2,Europa,Cola Zero,3,12120
2025-01-15,Sector 5,Asia,Cola Zero,2,9120
2025-01-15,Sector 5,Oceanía,Cola Original,1,5120
2025-01-15,Sector 1,Europa,Cola Original,2,7520
2025-01-16,Sector 1,América,Cola Original,1,5970
2025-01-16,Sector 1,África,Fanta,2,6990
2025-01-16,Sector 4,América,Cola Original,2,9800
2025-01-16,Sector 3,Asia,Fanta,2,7500
2025-01-16,Sector 3,Asia,Agua,3,6790
2025-01-16,Sector 3,África,Fanta,3,9520
2025-01-16,Sector 3,Oceanía,Cola Zero,1,5300
2025-01-16,Sector 1,Oceanía,Agua,1,3250
2025-01-17,Sector 1,Oceanía,Sprite,1,4830
2025-01-17,Sector 2,Europa,Fanta,2,8050
2025-01-17,Sector 1,Asia,Cola Original,2,9380
2025-01-17,Sector 2,Asia,Sprite,3,11400
2025-01-18,Sector 3,Asia,Agua,3,6570
2025-01-18,Sector 4,Oceanía,Cola Original,2,9860
2025-01-18,Sector 4,Asia,Sprite,3,10880
2025-01-18,Sector 1,Europa,Cola Zero,2,7430
2025-01-18,Sector 5,Europa,Cola Zero,2,10090
2025-01-19,Sector 5,África,Sprite,2,8930
2025-01-19,Sector 4,América,Cola Original,2,8590
2025-01-19,Sector 4,Asia,Sprite,3,12410
2025-01-19,Sector 4,Oceanía,Cola Original,2,8100
2025-01-19,Sector 2,América,Agua,2,4560
2025-01-19,Sector 4,Europa,Cola Original,3,12420
2025-01-19,Sector 1,África,Sprite,3,10100
2025-01-19,Sector 4,África,Sprite,4,15800
2025-01-20,Sector 4,Europa,Agua,3,8580
2025-01-20,Sector 5,Europa,Cola Zero,2,8610
2025-01-20,Sector 1,África,Fanta,3,8760
2025-01-20,Sector 1,América,Sprite,2,5860
2025-01-20,Sector 2,Asia,Cola Zero,3,12140
2025-01-20,Sector 5,África,Agua,3,8660
2025-01-20,Sector 3,Asia,Agua,3,6600
2025-01-20,Sector 1,Asia,Cola Zero,2,11100
2025-01-20,Sector 3,África,Cola Zero,2,9230
2025-01-20,Sector 3,América,Fanta,1,3930
2025-01-20,Sector 5,América,Cola Original,1,6190
2025-01-20,Sector 2,Asia,Fanta,3,9490
2025-01-20,Sector 1,África,Sprite,3,10810
2025-01-20,Sector 5,Oceanía,Sprite,2,5790
2025-01-20,Sector 4,Europa,Fanta,3,10780
2025-01-21,Sector 3,Europa,Cola Zero,1,6880
2025-01-21,Sector 2,América,Cola Zero,1,6560
2025-01-21,Sector 5,África,Cola Original,3,15500
2025-01-21,Sector 4,Europa,Agua,3,7810
2025-01-21,Sector 2,Asia,Cola Zero,2,10080
2025-01-21,Sector 3,África,Agua,3,7250
2025-01-21,Sector 1,Oceanía,Sprite,1,3730
2025-01-21,Sector 2,Asia,Fanta,3,8870
2025-01-21,Sector 5,Asia,Agua,3,7560
2025-01-21,Sector 3,África,Sprite,3,9690
2025-01-21,Sector 4,Asia,Cola Zero,3,12420
2025-01-21,Sector 4,Europa,Agua,4,10140
2025-01-22,Sector 1,Asia,Sprite,2,9000
2025-01-22,Sector 2,Europa,Cola Original,3,11270
2025-01-22,Sector 4,Europa,Fanta,3,11300
2025-01-22,Sector 1,Asia,Sprite,2,8490
2025-01-22,Sector 3,América,Agua,2,4280
2025-01-22,Sector 2,Oceanía,Fanta,2,5420
2025-01-22,Sector 3,América,Cola Original,1,5260
2025-01-23,Sector 5,Europa,Cola Original,2,10430
2025-01-23,Sector 4,Asia,Cola Zero,3,12580
2025-01-23,Sector 2,Europa,Cola Zero,2,11940
2025-01-23,Sector 5,Europa,Agua,2,5060
2025-01-23,Sector 3,Europa,Cola Zero,1,6340
2025-01-23,Sector 3,Europa,Fanta,1,5190
2025-01-23,Sector 2,Asia,Cola Zero,3,12190
2025-01-23,Sector 5,África,Cola Original,3,12880
2025-01-24,Sector 1,Oceanía,Cola Original,1,5640
2025-01-24,Sector 4,Oceanía,Sprite,2,6210
2025-01-24,Sector 3,Europa,Agua,2,5090
2025-01-24,Sector 2,América,Agua,2,5320
2025-01-24,Sector 2,América,Cola Zero,2,8980
2025-01-24,Sector 3,Asia,Cola Zero,1,7160
2025-01-24,Sector 3,Asia,Fanta,2,7120
2025-01-24,Sector 2,Europa,Agua,3,8300
2025-01-24,Sector 5,África,Sprite,3,10840
2025-01-25,Sector 3,Oceanía,Sprite,1,3390
2025-01-25,Sector 1,Europa,Fanta,2,6460
2025-01-25,Sector 4,Europa,Fanta,3,8800
2025-01-25,Sector 2,Oceanía,Cola Zero,2,8050
2025-01-25,Sector 4,Europa,Sprite,3,10810
2025-01-26,Sector 4,África,Fanta,4,12910
2025-01-26,Sector 4,Asia,Cola Original,4,17190
2025-01-26,Sector 1,Europa,Agua,2,4200
2025-01-26,Sector 2,África,Cola Zero,3,16650
2025-01-26,Sector 4,Europa,Cola Original,3,12740
2025-01-26,Sector 3,Asia,Cola Zero,2,9580
2025-01-26,Sector 4,Europa,Sprite,3,10340
2025-01-26,Sector 4,Oceanía,Cola Original,2,7440
2025-01-26,Sector 1,Oceanía,Agua,2,4080
2025-01-26,Sector 4,Asia,Agua,4,9910
2025-01-27,Sector 4,África,Cola Zero,5,22210
2025-01-27,Sector 1,Oceanía,Sprite,1,4470
2025-01-27,Sector 4,Asia,Cola Original,4,16060
2025-01-27,Sector 5,Asia,Sprite,2,9320
2025-01-27,Sector 1,América,Cola Zero,2,7420
2025-01-27,Sector 2,Asia,Cola Original,2,10170
2025-01-27,Sector 5,América,Cola Zero,2,7880
2025-01-27,Sector 5,África,Cola Zero,2,11070
2025-01-27,Sector 1,África,Agua,3,6930
2025-01-27,Sector 2,América,Cola Zero,1,6550
2025-01-27,Sector 4,Asia,Sprite,3,13280
2025-01-28,Sector 4,América,Sprite,2,8450
2025-01-28,Sector 2,Europa,Fanta,2,6400
2025-01-28,Sector 2,Asia,Sprite,2,9320
2025-01-28,Sector 1,Oceanía,Cola Original,1,5750
2025-01-28,Sector 4,Asia,Sprite,3,10760
2025-01-28,Sector 3,América,Fanta,1,3710
2025-01-28,Sector 2,Oceanía,Sprite,1,5580
2025-01-28,Sector 2,Asia,Sprite,2,8400
2025-01-28,Sector 3,América,Sprite,1,5180
2025-02-01,Sector 3,África,Cola Original,3,11620
2025-02-01,Sector 1,América,Sprite,2,6280
2025-02-01,Sector 5,Europa,Fanta,2,8680
2025-02-01,Sector 3,África,Agua,2,6310
2025-02-01,Sector 4,África,Cola Original,4,16420
2025-02-02,Sector 2,Asia,Fanta,3,10770
2025-02-02,Sector 5,África,Cola Original,3,14300
2025-02-02,Sector 3,África,Sprite,2,8810
2025-02-02,Sector 2,Europa,Agua,3,7600
2025-02-02,Sector 2,Oceanía,Cola Zero,1,5660
2025-02-02,Sector 3,Asia,Cola Zero,2,10340
2025-02-02,Sector 4,Europa,Cola Zero,2,10630
2025-02-02,Sector 3,Europa,Agua,2,3960
2025-02-02,Sector 5,Europa,Cola Zero,2,10600
2025-02-03,Sector 2,Oceanía,Cola Original,2,7840
2025-02-03,Sector 3,África,Cola Original,2,8680
2025-02-03,Sector 4,Europa,Cola Zero,3,12030
2025-02-03,Sector 2,Europa,Cola Original,2,8030
2025-02-03,Sector 3,África,Sprite,3,9900
2025-02-03,Sector 4,Oceanía,Fanta,2,7180
2025-02-03,Sector 4,Oceanía,Cola Original,2,9390
2025-02-03,Sector 3,Oceanía,Sprite,1,3190
2025-02-03,Sector 4,Asia,Fanta,4,13960
2025-02-03,Sector 1,Asia,Agua,3,7400
2025-02-03,Sector 4,África,Cola Zero,4,19890
2025-02-03,Sector 1,Asia,Sprite,2,7900
2025-02-04,Sector 3,Europa,Fanta,2,5400
2025-02-04,Sector 1,África,Agua,3,7300
2025-02-04,Sector 1,América,Agua,2,4210
2025-02-04,Sector 4,Europa,Cola Original,3,12170
2025-02-04,Sector 4,América,Cola Original,2,8150
2025-02-04,Sector 5,Asia,Agua,3,8210
2025-02-04,Sector 3,Asia,Sprite,2,6380
2025-02-05,Sector 1,Asia,Cola Original,2,8730
2025-02-05,Sector 4,América,Agua,3,8250
2025-02-05,Sector 2,Europa,Agua,2,5430
2025-02-05,Sector 4,América,Agua,3,8110
2025-02-05,Sector 4,África,Fanta,4,12470
2025-02-05,Sector 2,Oceanía,Cola Zero,2,8370
2025-02-05,Sector 1,Asia,Cola Zero,2,9830
2025-02-05,Sector 3,África,Cola Zero,3,12530
2025-02-05,Sector 2,África,Cola Zero,4,17060
2025-02-05,Sector 1,América,Cola Zero,2,7510
2025-02-06,Sector 4,Asia,Fanta,4,14050
2025-02-06,Sector 3,Asia,Sprite,2,6370
2025-02-06,Sector 4,América,Cola Original,2,7860
2025-02-06,Sector 2,Europa,Cola Zero,2,11980
2025-02-06,Sector 2,Asia,Agua,3,8470
2025-02-06,Sector 5,Oceanía,Sprite,1,5230
2025-02-06,Sector 2,Europa,Sprite,2,7790
2025-02-06,Sector 5,Oceanía,Fanta,1,4630
2025-02-06,Sector 5,Oceanía,Agua,1,3680
2025-02-07,Sector 3,África,Cola Zero,2,9960
2025-02-07,Sector 3,América,Fanta,1,5220
2025-02-07,Sector 5,Oceanía,Cola Zero,1,5250
2025-02-07,Sector 2,Oceanía,Agua,1,3790
2025-02-07,Sector 5,Oceanía,Cola Zero,1,6560
2025-02-07,Sector 4,América,Agua,2,5980
2025-02-07,Sector 2,Oceanía,Cola Original,2,7610
2025-02-07,Sector 5,África,Fanta,3,11090
2025-02-08,Sector 4,América,Agua,3,7590
2025-02-08,Sector 5,América,Sprite,2,7390
2025-02-08,Sector 1,América,Cola Original,2,7170
2025-02-08,Sector 2,Asia,Cola Original,3,13140
2025-02-08,Sector 3,Oceanía,Fanta,1,3150
2025-02-08,Sector 1,América,Fanta,2,5400
2025-02-08,Sector 4,Europa,Sprite,2,9500
2025-02-08,Sector 3,Oceanía,Cola Original,1,5340
2025-02-09,Sector 2,América,Cola Zero,2,9030
2025-02-09,Sector 5,América,Fanta,2,5310
2025-02-09,Sector 5,Asia,Fanta,3,9480
2025-02-09,Sector 1,Oceanía,Cola Original,1,5680
2025-02-09,Sector 1,América,Sprite,1,4980
2025-02-09,Sector 3,Europa,Cola Original,2,8100
2025-02-09,Sector 4,África,Fanta,3,12180
2025-02-09,Sector 1,América,Cola Original,1,4810
2025-02-09,Sector 1,Europa,Cola Zero,2,7970
2025-02-09,Sector 3,América,Sprite,1,4920
2025-02-09,Sector 5,Europa,Sprite,2,6290
2025-02-09,Sector 5,Oceanía,Fanta,2,5740
2025-02-09,Sector 2,Europa,Cola Zero,2,11650
2025-02-09,Sector 2,América,Sprite,2,6710
2025-02-10,Sector 3,América,Sprite,1,5090
2025-02-10,Sector 5,América,Fanta,2,6030
2025-02-10,Sector 4,Asia,Fanta,3,11200
2025-02-10,Sector 2,Europa,Fanta,2,7470
2025-02-10,Sector 2,América,Cola Zero,2,7600
2025-02-10,Sector 3,Oceanía,Agua,2,4010
2025-02-10,Sector 4,Asia,Agua,4,11340
2025-02-10,Sector 2,Asia,Cola Original,3,11390
2025-02-10,Sector 5,Europa,Agua,2,6160
2025-02-10,Sector 4,África,Sprite,3,12300
2025-02-10,Sector 5,Europa,Sprite,2,8850
2025-02-11,Sector 5,Oceanía,Cola Zero,2,7560
2025-02-11,Sector 5,América,Cola Zero,1,6860
2025-02-11,Sector 4,Oceanía,Sprite,2,6020
2025-02-11,Sector 1,África,Cola Original,2,8960
2025-02-11,Sector 2,África,Cola Zero,3,12160
2025-02-11,Sector 2,Oceanía,Cola Original,1,5610
2025-02-11,Sector 2,Oceanía,Cola Original,1,5580
2025-02-11,Sector 1,África,Fanta,3,10380
2025-02-11,Sector 4,África,Agua,4,10890
2025-02-12,Sector 4,Oceanía,Cola Zero,2,8690
2025-02-12,Sector 5,América,Sprite,2,6080
2025-02-12,Sector 4,América,Agua,2,6340
2025-02-12,Sector 2,Oceanía,Cola Zero,2,8440
2025-02-12,Sector 3,África,Cola Original,2,10870
2025-02-12,Sector 2,Europa,Cola Zero,2,10700
2025-02-12,Sector 3,Oceanía,Cola Original,1,5170
2025-02-12,Sector 2,Asia,Cola Original,3,13210
2025-02-12,Sector 3,Asia,Cola Original,2,7220
2025-02-12,Sector 5,Europa,Cola Original,2,10070
2025-02-12,Sector 5,América,Fanta,1,5200
2025-02-13,Sector 3,Oceanía,Agua,1,3090
2025-02-13,Sector 4,África,Agua,5,12650
2025-02-13,Sector 1,Oceanía,Fanta,1,3860
2025-02-13,Sector 2,África,Sprite,3,12010
2025-02-13,Sector 2,África,Agua,4,10720
2025-02-13,Sector 3,Oceanía,Cola Zero,1,5840
2025-02-13,Sector 5,África,Fanta,3,11090
2025-02-13,Sector 4,América,Agua,3,7620
2025-02-14,Sector 1,América,Cola Zero,1,7120
2025-02-14,Sector 5,América,Cola Zero,2,7980
2025-02-14,Sector 3,Europa,Sprite,2,6350
2025-02-14,Sector 1,América,Cola Zero,1,5750
2025-02-14,Sector 1,Oceanía,Sprite,1,3930
2025-02-14,Sector 5,Asia,Cola Zero,3,12730
2025-02-14,Sector 3,África,Cola Original,2,9530
2025-02-14,Sector 2,Asia,Sprite,3,10500
2025-02-15,Sector 3,Asia,Fanta,1,5110
2025-02-15,Sector 1,Oceanía,Sprite,1,4180
2025-02-15,Sector 3,Oceanía,Agua,1,3660
2025-02-15,Sector 2,Asia,Fanta,3,11000
2025-02-15,Sector 4,América,Cola Original,2,10040
2025-02-15,Sector 2,Asia,Cola Zero,2,11240
2025-02-15,Sector 1,Asia,Cola Original,2,7110
2025-02-16,Sector 3,Asia,Fanta,2,5460
2025-02-16,Sector 5,Oceanía,Cola Zero,1,5350
2025-02-16,Sector 2,Oceanía,Cola Zero,2,8740
2025-02-16,Sector 5,América,Cola Zero,1,6140
2025-02-16,Sector 5,África,Agua,3,7920
2025-02-16,Sector 5,América,Cola Zero,2,8770
2025-02-16,Sector 4,Oceanía,Cola Original,2,7770
2025-02-16,Sector 5,Europa,Sprite,2,7390
2025-02-16,Sector 5,Asia,Cola Original,3,11290
2025-02-16,Sector 5,Europa,Cola Original,2,9930
2025-02-16,Sector 2,América,Sprite,2,6000
2025-02-16,Sector 3,Asia,Cola Original,2,7970
2025-02-16,Sector 3,África,Agua,2,5620
2025-02-16,Sector 2,Europa,Cola Original,2,10670
2025-02-16,Sector 4,América,Agua,3,6640
2025-02-16,Sector 1,América,Sprite,1,4960
2025-02-16,Sector 2,Oceanía,Cola Zero,2,8050
2025-02-17,Sector 1,Oceanía,Agua,1,3180
2025-02-17,Sector 2,América,Sprite,2,6700
2025-02-17,Sector 2,América,Cola Zero,2,8190
2025-02-17,Sector 3,África,Agua,3,7760
2025-02-17,Sector 2,Oceanía,Agua,2,5160
2025-02-17,Sector 4,África,Cola Original,4,19580
2025-02-18,Sector 4,Europa,Sprite,3,10390
2025-02-18,Sector 3,África,Cola Original,3,12050
2025-02-18,Sector 2,Europa,Fanta,2,6680
2025-02-18,Sector 3,América,Agua,2,4540
2025-02-18,Sector 2,América,Fanta,2,6200
2025-02-18,Sector 5,África,Cola Original,3,11540
2025-02-18,Sector 4,Oceanía,Cola Original,2,9250
2025-02-18,Sector 4,América,Fanta,2,6980
2025-02-18,Sector 5,África,Cola Original,3,11470
2025-02-18,Sector 2,Asia,Fanta,3,9810
2025-02-18,Sector 2,Europa,Cola Zero,2,8840
2025-02-18,Sector 2,América,Cola Zero,2,8200
2025-02-18,Sector 3,Oceanía,Cola Original,1,4880
2025-02-19,Sector 5,América,Fanta,2,5690
2025-02-19,Sector 2,Asia,Cola Zero,2,11680
2025-02-19,Sector 5,Asia,Cola Original,3,12110
2025-02-19,Sector 4,Oceanía,Agua,3,6680
2025-02-19,Sector 2,África,Cola Zero,3,13630
2025-02-19,Sector 2,Europa,Agua,3,7270
2025-02-19,Sector 2,Europa,Agua,3,6540
2025-02-19,Sector 2,Asia,Fanta,3,10940
2025-02-19,Sector 3,América,Cola Original,1,6440
2025-02-19,Sector 5,Europa,Fanta,2,6030
2025-02-19,Sector 1,Europa,Cola Zero,2,8480
2025-02-19,Sector 4,Europa,Fanta,3,8850
2025-02-20,Sector 5,África,Sprite,2,9190
2025-02-20,Sector 2,Oceanía,Sprite,1,5570
2025-02-20,Sector 1,Asia,Fanta,2,8170
2025-02-20,Sector 2,Oceanía,Sprite,2,6760
2025-02-20,Sector 2,Oceanía,Cola Zero,1,6180
2025-02-20,Sector 1,América,Agua,2,4580
2025-02-20,Sector 2,Europa,Sprite,2,7690
2025-02-20,Sector 1,África,Cola Original,3,11640
2025-02-21,Sector 4,Asia,Cola Original,3,12760
2025-02-21,Sector 2,Europa,Agua,3,8150
2025-02-21,Sector 5,Asia,Agua,3,8200
2025-02-21,Sector 5,Europa,Cola Zero,2,8520
2025-02-21,Sector 5,Asia,Cola Original,2,10170
2025-02-21,Sector 4,Asia,Fanta,3,9970
2025-02-21,Sector 1,Asia,Agua,3,7350
2025-02-21,Sector 4,África,Cola Zero,4,17290
2025-02-21,Sector 5,África,Fanta,3,9060
2025-02-21,Sector 4,Europa,Cola Original,2,9410
2025-02-22,Sector 3,Oceanía,Fanta,1,4570
2025-02-22,Sector 3,América,Cola Zero,1,6780
2025-02-22,Sector 3,Oceanía,Sprite,1,3210
2025-02-22,Sector 4,Europa,Agua,4,9540
2025-02-22,Sector 3,Europa,Fanta,2,5950
2025-02-22,Sector 2,América,Cola Original,2,8810
2025-02-22,Sector 1,América,Fanta,1,5140
2025-02-22,Sector 5,África,Cola Original,2,11010
2025-02-22,Sector 3,Oceanía,Agua,1,3540
2025-02-22,Sector 2,Oceanía,Cola Zero,2,8260
2025-02-22,Sector 2,América,Agua,2,6270
2025-02-23,Sector 4,África,Sprite,4,16020
2025-02-23,Sector 2,África,Cola Zero,3,15130
2025-02-23,Sector 4,Asia,Cola Zero,3,16110
2025-02-23,Sector 5,África,Sprite,3,11220
2025-02-23,Sector 3,Oceanía,Cola Original,1,5350
2025-02-23,Sector 3,Asia,Cola Zero,2,8310
2025-02-23,Sector 1,América,Cola Zero,2,7290
2025-02-24,Sector 5,América,Cola Zero,2,8790
2025-02-24,Sector 3,Oceanía,Cola Zero,1,5330
2025-02-24,Sector 5,Oceanía,Cola Zero,1,6110
2025-02-24,Sector 4,África,Agua,5,13830
2025-02-24,Sector 3,Europa,Cola Original,1,6380
2025-02-24,Sector 4,Europa,Agua,3,6850
2025-02-24,Sector 1,Asia,Agua,3,7530
2025-02-24,Sector 2,Europa,Cola Original,2,7900
2025-02-24,Sector 3,Oceanía,Fanta,1,4300
2025-02-25,Sector 2,África,Sprite,3,11440
2025-02-25,Sector 4,Asia,Cola Zero,4,17260
2025-02-25,Sector 4,Asia,Cola Zero,4,18380
2025-02-25,Sector 5,Europa,Cola Zero,2,8730
2025-02-25,Sector 2,Europa,Cola Zero,2,10940
2025-02-25,Sector 2,América,Fanta,2,5630
2025-02-26,Sector 1,África,Fanta,3,9190
2025-02-26,Sector 1,África,Cola Original,3,11620
2025-02-26,Sector 2,Asia,Cola Zero,3,13980
2025-02-26,Sector 5,Oceanía,Cola Original,2,7210
2025-02-26,Sector 5,América,Agua,2,4690
2025-02-26,Sector 5,África,Sprite,2,8840
2025-02-26,Sector 5,Europa,Fanta,2,6450
2025-02-27,Sector 5,Asia,Agua,3,6660
2025-02-27,Sector 1,Asia,Cola Zero,2,7820
2025-02-27,Sector 4,Europa,Fanta,3,9320
2025-02-27,Sector 1,África,Cola Zero,2,10320
2025-02-27,Sector 1,Oceanía,Cola Original,1,5710
2025-02-27,Sector 5,América,Cola Zero,2,9190
2025-02-27,Sector 2,Europa,Sprite,2,7740
2025-02-27,Sector 2,América,Agua,2,5380
2025-02-27,Sector 4,Oceanía,Agua,2,6050
2025-02-27,Sector 5,Asia,Cola Zero,3,12540
2025-02-27,Sector 2,Oceanía,Cola Zero,1,7170
2025-02-28,Sector 3,Europa,Fanta,2,6010
2025-02-28,Sector 2,Asia,Sprite,3,10550
2025-02-28,Sector 4,Asia,Cola Original,3,13760
2025-02-28,Sector 5,Europa,Cola Original,2,8530
2025-02-28,Sector 2,América,Agua,2,6080
2025-02-28,Sector 1,América,Fanta,1,4750
2025-02-28,Sector 1,África,Cola Original,3,12210
2025-03-01,Sector 1,África,Cola Zero,3,12950
2025-03-01,Sector 2,África,Fanta,4,12680
2025-03-01,Sector 5,Oceanía,Sprite,2,5780
2025-03-01,Sector 1,Europa,Agua,2,4690
2025-03-01,Sector 3,Europa,Cola Zero,1,6020
2025-03-01,Sector 5,África,Cola Original,3,12460
2025-03-01,Sector 3,Asia,Agua,2,5300
2025-03-01,Sector 3,Asia,Cola Original,2,9500
2025-03-01,Sector 1,África,Agua,3,7470
2025-03-01,Sector 3,Asia,Sprite,2,5940
2025-03-01,Sector 4,África,Cola Zero,4,19220
2025-03-01,Sector 3,Asia,Agua,3,6770
2025-03-01,Sector 2,Oceanía,Cola Original,2,7990
2025-03-01,Sector 2,Oceanía,Cola Zero,2,7470
